WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
AANBD205TEA1,1,8614,940,0,-3.6
AANBD205TEA1,2,8604,940,19.3,-19.3
AANBD205TEA1,3,8602,941,19.3,19.3
AANBD205TEA1,4,8595,940,-47.5,-36.4
AANBD205TEA1,5,8593,941,-57.9,19.3
AANBD205TEA1,6,8592,940,-19.3,-57.9
AANBD205TEA1,7,8590,941,-19.3,57.9
AANBD205TEA1,8,8581,941,71.2,-3.6
AANBD205TEA1,9,8576,942,57.9,57.9
AANBD205TEA1,10,8570,940,-71.2,61.9
AANBD205TEA1,11,8569,939,19.3,-96.5
AANBD205TEA1,12,8568,941,19.3,96.5
AANBD205TEA1,13,8568,941,96.5,19.3
AANBD205TEA1,14,8570,939,71.2,-69.2
AANBD205TEA1,15,8560,938,-96.5,-57.9
AANBD205TEA1,16,8558,939,-57.9,-96.5
AANBD205TEA1,17,8559,941,-57.9,96.5
AANBD205TEA1,18,8559,941,94.9,61.8
AANBD205TEA1,19,8556,939,-118.6,-3.6
AANBD205TEA1,20,8552,942,0,127.4
AANBD205TEA1,21,8553,939,0,-134.7
AANBD205TEA1,22,8552,942,-96.5,96.5
AANBD205TEA1,23,8553,940,96.5,-96.5
AANBD205TEA1,24,8548,942,136.2,19.3
AANBD205TEA1,25,8558,942,71.2,127.4
AANBD205TEA1,26,8561,941,141.9,-35.9
AANBD205TEA1,27,8617,940,-136.2,-57.9
AANBD205TEA1,28,8616,941,-136.2,57.9
AANBD205TEA1,29,8621,939,-57.9,-136.2
AANBD205TEA1,30,8615,943,-57.9,136.2
AANBD205TEA1,31,8624,939,57.9,-136.2
AANBD205TEA1,32,8607,942,136.2,57.9
AANBD228TEH1,1,8606,940,0,-3.6
AANBD228TEH1,2,8594,939,19.3,-19.3
AANBD228TEH1,3,8595,941,19.3,19.3
AANBD228TEH1,4,8589,939,-47.5,-36.4
AANBD228TEH1,5,8588,940,-57.9,19.3
AANBD228TEH1,6,8585,939,-19.3,-57.9
AANBD228TEH1,7,8586,941,-19.3,57.9
AANBD228TEH1,8,8571,941,71.2,-3.6
AANBD228TEH1,9,8570,941,57.9,57.9
AANBD228TEH1,10,8565,940,-71.2,61.9
AANBD228TEH1,11,8558,939,19.3,-96.5
AANBD228TEH1,12,8562,940,19.3,96.5
AANBD228TEH1,13,8559,940,96.5,19.3
AANBD228TEH1,14,8558,939,71.2,-69.2
AANBD228TEH1,15,8557,938,-96.5,-57.9
AANBD228TEH1,16,8553,938,-57.9,-96.5
AANBD228TEH1,17,8555,941,-57.9,96.5
AANBD228TEH1,18,8551,941,94.9,61.8
AANBD228TEH1,19,8553,939,-118.6,-3.6
AANBD228TEH1,20,8548,941,0,127.4
AANBD228TEH1,21,8543,939,0,-134.7
AANBD228TEH1,22,8550,941,-96.5,96.5
AANBD228TEH1,23,8547,939,96.5,-96.5
AANBD228TEH1,24,8544,941,136.2,19.3
AANBD228TEH1,25,8557,942,71.2,127.4
AANBD228TEH1,26,8550,941,141.9,-35.9
AANBD228TEH1,27,8603,939,-136.2,-57.9
AANBD228TEH1,28,8615,940,-136.2,57.9
AANBD228TEH1,29,8596,939,-57.9,-136.2
AANBD228TEH1,30,8618,942,-57.9,136.2
AANBD228TEH1,31,8594,938,57.9,-136.2
AANBD228TEH1,32,8603,942,136.2,57.9
AANBD203TEG3,1,8621,944,0,-3.6
AANBD203TEG3,2,8611,945,19.3,-19.3
AANBD203TEG3,3,8608,945,19.3,19.3
AANBD203TEG3,4,8602,944,-47.5,-36.4
AANBD203TEG3,5,8598,945,-57.9,19.3
AANBD203TEG3,6,8601,944,-19.3,-57.9
AANBD203TEG3,7,8597,946,-19.3,57.9
AANBD203TEG3,8,8584,946,71.2,-3.6
AANBD203TEG3,9,8575,946,57.9,57.9
AANBD203TEG3,10,8569,945,-71.2,61.9
AANBD203TEG3,11,8569,944,19.3,-96.5
AANBD203TEG3,12,8565,945,19.3,96.5
AANBD203TEG3,13,8565,945,96.5,19.3
AANBD203TEG3,14,8568,944,71.2,-69.2
AANBD203TEG3,15,8558,943,-96.5,-57.9
AANBD203TEG3,16,8557,944,-57.9,-96.5
AANBD203TEG3,17,8557,946,-57.9,96.5
AANBD203TEG3,18,8555,946,94.9,61.8
AANBD203TEG3,19,8554,944,-118.6,-3.6
AANBD203TEG3,20,8549,946,0,127.4
AANBD203TEG3,21,8550,944,0,-134.7
AANBD203TEG3,22,8552,945,-96.5,96.5
AANBD203TEG3,23,8550,944,96.5,-96.5
AANBD203TEG3,24,8547,946,136.2,19.3
AANBD203TEG3,25,8556,947,71.2,127.4
AANBD203TEG3,26,8562,945,141.9,-35.9
AANBD203TEG3,27,8618,943,-136.2,-57.9
AANBD203TEG3,28,8620,945,-136.2,57.9
AANBD203TEG3,29,8622,944,-57.9,-136.2
AANBD203TEG3,30,8612,946,-57.9,136.2
AANBD203TEG3,31,8617,944,57.9,-136.2
AANBD203TEG3,32,8610,946,136.2,57.9
AANBD225TEB6,1,8606,940,0,-3.6
AANBD225TEB6,2,8599,940,19.3,-19.3
AANBD225TEB6,3,8600,941,19.3,19.3
AANBD225TEB6,4,8593,939,-47.5,-36.4
AANBD225TEB6,5,8593,940,-57.9,19.3
AANBD225TEB6,6,8592,940,-19.3,-57.9
AANBD225TEB6,7,8595,941,-19.3,57.9
AANBD225TEB6,8,8578,941,71.2,-3.6
AANBD225TEB6,9,8575,941,57.9,57.9
AANBD225TEB6,10,8569,941,-71.2,61.9
AANBD225TEB6,11,8562,939,19.3,-96.5
AANBD225TEB6,12,8568,941,19.3,96.5
AANBD225TEB6,13,8561,941,96.5,19.3
AANBD225TEB6,14,8563,939,71.2,-69.2
AANBD225TEB6,15,8556,938,-96.5,-57.9
AANBD225TEB6,16,8554,939,-57.9,-96.5
AANBD225TEB6,17,8560,941,-57.9,96.5
AANBD225TEB6,18,8553,941,94.9,61.8
AANBD225TEB6,19,8552,939,-118.6,-3.6
AANBD225TEB6,20,8554,942,0,127.4
AANBD225TEB6,21,8545,939,0,-134.7
AANBD225TEB6,22,8555,941,-96.5,96.5
AANBD225TEB6,23,8545,940,96.5,-96.5
AANBD225TEB6,24,8544,942,136.2,19.3
AANBD225TEB6,25,8559,942,71.2,127.4
AANBD225TEB6,26,8551,941,141.9,-35.9
AANBD225TEB6,27,8605,938,-136.2,-57.9
AANBD225TEB6,28,8617,940,-136.2,57.9
AANBD225TEB6,29,8603,940,-57.9,-136.2
AANBD225TEB6,30,8624,942,-57.9,136.2
AANBD225TEB6,31,8592,939,57.9,-136.2
AANBD225TEB6,32,8604,942,136.2,57.9
