Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,BTM_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-136.2,-57.9,4,-8.857,2.681,-12.59,-6.21,0.006,8610.75,8619.607,AANBD228TEH1
-136.2,57.9,4,-6.46,1.411,-8.52,-5.4,0.006,8617.0,8623.46,AANBD228TEH1
-118.6,-3.6,4,6.425,0.1,6.3,6.54,0.083,8553.75,8547.325,AANBD228TEH1
-96.5,-57.9,4,5.018,0.956,3.7,5.99,0.012,8557.75,8552.732,AANBD228TEH1
-96.5,96.5,4,7.29,1.019,6.07,8.41,0.014,8552.25,8544.96,AANBD228TEH1
-71.2,61.9,4,4.905,1.111,3.54,6.23,0.02,8568.25,8563.345,AANBD228TEH1
-57.9,-136.2,4,-8.06,4.023,-12.82,-3.16,0.006,8610.5,8618.56,AANBD228TEH1
-57.9,-96.5,4,5.602,0.754,4.72,6.56,0.012,8555.5,8549.898,AANBD228TEH1
-57.9,19.3,4,1.48,1.146,-0.14,2.56,0.006,8593.0,8591.52,AANBD228TEH1
-57.9,96.5,4,5.883,1.931,3.46,7.91,0.012,8557.75,8551.867,AANBD228TEH1
-57.9,136.2,4,-4.367,2.797,-8.22,-1.96,0.006,8617.25,8621.617,AANBD228TEH1
-47.5,-36.4,4,1.893,1.333,-0.02,3.08,0.055,8594.75,8592.857,AANBD228TEH1
-19.3,-57.9,4,1.66,1.388,0.51,3.5,0.006,8592.5,8590.84,AANBD228TEH1
-19.3,57.9,4,3.715,1.711,1.5,5.09,0.006,8592.0,8588.285,AANBD228TEH1
0.0,-134.7,4,5.745,0.832,4.7,6.72,0.053,8547.75,8542.005,AANBD228TEH1
0.0,-3.6,4,0.462,1.119,-0.94,1.75,0.063,8611.75,8611.288,AANBD228TEH1
0.0,127.4,4,6.535,1.345,4.9,7.95,0.029,8550.75,8544.215,AANBD228TEH1
19.3,-96.5,4,4.85,1.29,3.75,6.69,0.01,8564.5,8559.65,AANBD228TEH1
19.3,-19.3,4,1.015,1.3,-0.7,2.27,0.003,8602.0,8600.985,AANBD228TEH1
19.3,19.3,4,0.55,1.802,-0.69,3.15,0.003,8601.25,8600.7,AANBD228TEH1
19.3,96.5,4,4.92,0.741,4.13,5.61,0.01,8565.75,8560.83,AANBD228TEH1
57.9,-136.2,4,-5.948,3.594,-10.48,-2.64,0.006,8606.75,8612.698,AANBD228TEH1
57.9,57.9,4,4.407,0.539,3.79,5.05,0.009,8574.0,8569.593,AANBD228TEH1
71.2,-69.2,4,4.785,0.872,3.49,5.34,0.008,8564.75,8559.965,AANBD228TEH1
71.2,-3.6,4,3.24,1.439,1.59,5.1,0.062,8578.5,8575.26,AANBD228TEH1
71.2,127.4,4,5.355,0.349,4.86,5.67,0.028,8557.5,8552.145,AANBD228TEH1
94.9,61.8,4,5.718,1.679,4.25,8.01,0.09,8554.5,8548.782,AANBD228TEH1
96.5,-96.5,4,5.103,1.748,3.28,7.03,0.014,8548.75,8543.647,AANBD228TEH1
96.5,19.3,4,4.498,2.435,1.57,7.51,0.01,8563.25,8558.752,AANBD228TEH1
136.2,19.3,4,7.073,1.981,5.0,9.27,0.002,8545.75,8538.677,AANBD228TEH1
136.2,57.9,4,-0.163,1.148,-0.77,1.56,0.006,8606.0,8606.163,AANBD228TEH1
142.2,-36.2,4,-2.908,3.99,-6.4,0.75,0.733,8556.0,8558.908,AANBD228TEH1
