X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count,Reliability
-132.827,-56.952,3.526,3.526,4.959,8.0,1.581
-132.827,56.952,-0.994,0.994,3.084,8.0,2.512
-121.735,-2.712,10.417,10.417,3.842,8.0,2.03
-94.005,-56.952,11.659,11.659,2.61,8.0,2.952
-94.005,94.92,12.744,12.744,3.384,8.0,2.296
-71.821,62.376,11.26,11.26,3.424,8.0,2.27
-55.183,-132.888,3.607,3.607,7.798,8.0,1.013
-55.183,-94.92,12.073,12.073,2.979,8.0,2.598
-55.183,18.984,11.028,11.028,3.04,8.0,2.548
-55.183,94.92,12.304,12.304,3.431,8.0,2.266
-55.183,132.888,-1.63,1.63,4.532,8.0,1.727
-49.637,-35.256,9.693,9.693,3.447,8.0,2.256
-16.361,-56.952,10.255,10.255,2.859,8.0,2.703
-16.361,56.952,11.684,11.684,3.734,8.0,2.087
0.277,-132.888,11.089,11.089,3.925,8.0,1.988
0.277,-2.712,12.011,12.011,2.91,8.0,2.657
0.277,127.464,11.944,11.944,3.351,8.0,2.318
16.915,-94.92,12.259,12.259,3.401,8.0,2.285
16.915,-18.984,10.243,10.243,2.816,8.0,2.743
16.915,18.984,11.088,11.088,3.056,8.0,2.535
16.915,94.92,11.395,11.395,2.766,8.0,2.792
55.737,-132.888,5.2,5.2,9.034,8.0,0.876
55.737,56.952,11.871,11.871,2.914,8.0,2.654
72.375,-67.8,9.9,9.9,2.349,8.0,3.267
72.375,-2.712,9.151,9.151,3.642,8.0,2.138
72.375,127.464,6.446,6.446,2.914,8.0,2.654
94.559,-94.92,11.005,11.005,2.289,8.0,3.348
94.559,18.984,10.999,10.999,2.339,8.0,3.28
94.559,62.376,9.574,9.574,2.768,8.0,2.79
133.381,18.984,11.78,11.78,3.67,8.0,2.122
138.927,-35.256,-2.485,2.485,4.246,8.0,1.841
