Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,DMT_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-135.6,-57.5,8,-6.474,5.301,-13.544,2.668,1.504,8622.158,8628.631,AANBD203TEG3
-135.6,57.5,8,-10.994,3.297,-14.964,-5.365,1.504,8623.363,8634.358,AANBD203TEG3
-119.3,-3.3,8,10.417,4.107,5.102,16.023,1.499,8577.488,8567.071,AANBD203TEG3
-96.3,-57.5,8,11.659,2.79,7.512,14.833,1.04,8584.091,8572.431,AANBD203TEG3
-96.3,96.3,8,12.744,3.618,8.609,18.245,0.721,8577.139,8564.395,AANBD203TEG3
-71.6,62.4,8,11.26,3.661,7.06,15.496,1.38,8598.285,8587.025,AANBD203TEG3
-57.5,-135.6,8,-6.393,8.336,-16.637,4.601,1.504,8626.484,8632.878,AANBD203TEG3
-57.5,-96.3,8,12.073,3.185,8.9,17.35,1.04,8582.278,8570.205,AANBD203TEG3
-57.5,18.7,8,11.028,3.25,5.633,15.513,1.586,8626.201,8615.172,AANBD203TEG3
-57.5,96.3,8,12.304,3.668,7.781,19.158,1.04,8586.248,8573.945,AANBD203TEG3
-57.5,135.6,8,-11.63,4.845,-18.662,-5.879,1.504,8627.88,8639.51,AANBD203TEG3
-47.7,-36.2,8,9.693,3.685,5.642,14.091,0.695,8625.845,8616.151,AANBD203TEG3
-18.7,-57.5,8,10.255,3.057,6.62,14.018,1.586,8624.057,8613.803,AANBD203TEG3
-18.7,57.5,8,11.684,3.991,6.843,17.701,1.586,8625.894,8614.21,AANBD203TEG3
0.0,-134.9,8,11.089,4.196,4.799,18.286,0.247,8573.497,8562.407,AANBD203TEG3
0.0,-1.8,8,12.011,3.111,8.823,16.466,3.662,8640.413,8628.403,AANBD203TEG3
0.0,126.7,8,11.944,3.582,8.352,16.058,1.428,8578.403,8566.459,AANBD203TEG3
18.7,-96.3,8,12.259,3.636,6.531,16.013,1.398,8593.722,8581.462,AANBD203TEG3
18.7,-20.2,8,10.243,3.011,6.142,14.259,2.14,8629.596,8619.353,AANBD203TEG3
18.7,18.7,8,11.088,3.267,6.837,17.125,1.841,8630.819,8619.731,AANBD203TEG3
18.7,96.3,8,11.395,2.957,7.086,14.746,1.398,8595.873,8584.477,AANBD203TEG3
57.5,-135.6,8,-4.8,9.658,-17.31,9.592,1.504,8629.059,8633.859,AANBD203TEG3
57.5,57.5,8,11.871,3.115,7.259,14.946,1.282,8605.268,8593.398,AANBD203TEG3
71.6,-69.1,8,9.9,2.511,6.818,12.946,0.823,8592.085,8582.185,AANBD203TEG3
71.6,-3.3,8,9.151,3.893,2.418,14.331,1.036,8608.506,8599.355,AANBD203TEG3
71.6,126.7,8,6.446,3.116,1.474,9.401,1.635,8581.308,8574.862,AANBD203TEG3
95.5,62.4,8,9.574,2.959,5.006,12.92,1.543,8580.833,8571.259,AANBD203TEG3
96.3,-96.3,8,11.005,2.447,7.815,14.307,0.721,8575.176,8564.171,AANBD203TEG3
96.3,18.7,8,10.999,2.5,8.325,16.409,1.398,8592.04,8581.041,AANBD203TEG3
135.6,18.7,8,11.78,3.923,6.719,16.545,1.771,8573.171,8561.391,AANBD203TEG3
141.7,-36.2,8,-2.485,4.539,-6.985,4.094,1.467,8579.052,8581.536,AANBD203TEG3
